_id,Name,League,Location,Year Founded,Conference,Division,2019-2020: Wins,2019-2020: Losses,2019-2020: PCT,2019-2020: Conference Rank,2019-2020: Division Rank,Arena,Owner,Coach,Championships,Roster
5f7d384272e02a5950f11625,Knicks,NBA,New York,1946,East,Atlantic,21,45,0.318,12,5,Madison Square Garden,Cablevision (James Dolan),Tom Thibodeau,['1970 against Los Angeles Lakers'; '1973 against Los Angeles Lakers'],['Bobby Portis (Position: F)'; 'Theo Pinson (Position: G-F)'; 'Wayne Ellington (Position: G)'; 'Maurice Harkless (Position: F-G)'; 'Dennis Smith Jr. (Position: G)'; 'Elfrid Payton (Position: G)'; 'RJ Barrett (Position: F-G)'; 'Frank Ntilikina (Position: G)'; 'Jared Harper (Position: G)'; 'Ignas Brazdeikis (Position: F)'; 'Kevin Knox II (Position: F)'; 'Damyean Dotson (Position: G)'; 'Mitchell Robinson (Position: C-F)'; 'Reggie Bullock (Position: G-F)'; 'Julius Randle (Position: F-C)'; 'Kenny Wooten (Position: F)'; 'Taj Gibson (Position: F)']
5f7d384272e02a5950f11627,Magic,NBA,Orlando,1989,East,Southeast,33,40,0.452,8,2,Amway Center,Rick DeVos,Steve Clifford,[],['Aaron Gordon (Position: F)'; 'Jonathan Isaac (Position: F)'; 'Al-Farouq Aminu (Position: F)'; 'Mo Bamba (Position: C)'; 'Michael Carter-Williams (Position: G)'; 'Nikola Vucevic (Position: C)'; 'Evan Fournier (Position: G-F)'; 'James Ennis III (Position: F)'; 'Gary Clark (Position: F)'; 'BJ Johnson (Position: F)'; 'D.J. Augustin (Position: G)'; 'Markelle Fultz (Position: G)'; 'Vic Law (Position: F)'; 'Khem Birch (Position: C)'; 'Wes Iwundu (Position: F)'; 'Terrence Ross (Position: G-F)'; 'Melvin Frazier Jr. (Position: G-F)']
5f7d384272e02a5950f1162a,Trail Blazers,NBA,Portland,1970,West,Northwest,35,39,0.473,8,4,Moda Center,Paul Allen,Terry Stotts,['1977 against Philadelphia 76ers'],['Carmelo Anthony (Position: F)'; 'Damian Lillard (Position: G)'; 'Anfernee Simons (Position: G)'; 'Gary Trent Jr. (Position: G-F)'; 'CJ McCollum (Position: G)'; 'Moses Brown (Position: C)'; 'Rodney Hood (Position: G-F)'; 'Jaylen Hoard (Position: F)'; 'Trevor Ariza (Position: F)'; 'Nassir Little (Position: F-G)'; 'Jaylen Adams (Position: G)'; 'Hassan Whiteside (Position: C)'; 'Jusuf Nurkic (Position: C)'; 'Zach Collins (Position: F-C)'; 'Wenyen Gabriel (Position: F)'; 'Mario Hezonja (Position: F-G)'; 'Caleb Swanigan (Position: F)']
5f7d384272e02a5950f1162b,Kings,NBA,Sacramento,1948,West,Pacific,31,41,0.431,12,4,Golden 1 Center,Vivek Ranadive,Luke Walton,['1951 against New York Knicks'],"['Yogi Ferrell (Position: G)'; ""De'Aaron Fox (Position: G)""; 'Kyle Guy (Position: G)'; 'Bogdan Bogdanovic (Position: G)'; 'Cory Joseph (Position: G)'; 'Justin James (Position: G-F)'; 'Corey Brewer (Position: G-F)'; 'DaQuan Jeffries (Position: G-F)'; 'Harry Giles III (Position: F-C)'; 'Richaun Holmes (Position: F)'; 'Buddy Hield (Position: G)'; 'Alex Len (Position: C)'; 'Kent Bazemore (Position: G-F)'; 'Jabari Parker (Position: F)'; 'Marvin Bagley III (Position: F)'; 'Harrison Barnes (Position: F)'; 'Nemanja Bjelica (Position: F)']"
5f7d384272e02a5950f11613,Celtics,NBA,Boston,1946,East,Atlantic,48,24,0.667,3,2,TD Garden,Wyc Grousbeck,Brad Stevens,['1957 against St. Louis Hawks'; '1959 against Minneapolis Lakers'; '1960 against St. Louis Hawks'; '1961 against St. Louis Hawks'; '1962 against Los Angeles Lakers'; '1963 against Los Angeles Lakers'; '1964 against San Francisco Warriors'; '1965 against Los Angeles Lakers'; '1966 against Los Angeles Lakers'; '1968 against Los Angeles Lakers'; '1969 against Los Angeles Lakers'; '1974 against Milwaukee Bucks'; '1976 against Phoenix Suns'; '1981 against Houston Rockets'; '1984 against Los Angeles Lakers'; '1986 against Houston Rockets'; '2008 against Los Angeles Lakers'],['Jayson Tatum (Position: F-G)'; 'Carsen Edwards (Position: G)'; 'Jaylen Brown (Position: G-F)'; 'Kemba Walker (Position: G)'; 'Brad Wanamaker (Position: G)'; 'Enes Kanter (Position: C)'; 'Grant Williams (Position: F)'; 'Gordon Hayward (Position: F)'; 'Daniel Theis (Position: F-C)'; 'Marcus Smart (Position: G)'; 'Semi Ojeleye (Position: F)'; 'Javonte Green (Position: G-F)'; 'Robert Williams III (Position: C-F)'; 'Romeo Langford (Position: G-F)'; 'Tremont Waters (Position: G)'; 'Vincent Poirier (Position: C-F)'; 'Tacko Fall (Position: C)']
5f7d384272e02a5950f11616,Bulls,NBA,Chicago,1966,East,Central,22,43,0.338,11,3,United Center,Jerry Reinsdorf,Billy Donovan,['1991 against Los Angeles Lakers'; '1992 against Portland Trail Blazers'; '1993 against Phoenix Suns'; '1996 against Seattle SuperSonics'; '1997 against Utah Jazz'; '1998 against Utah Jazz'],['Coby White (Position: G)'; 'Luke Kornet (Position: F-C)'; 'Shaquille Harrison (Position: G)'; 'Cristiano Felicio (Position: F-C)'; 'Zach LaVine (Position: G-F)'; 'Daniel Gafford (Position: F-C)'; 'Chandler Hutchison (Position: F-G)'; 'Adam Mokoka (Position: G)'; 'Thaddeus Young (Position: F)'; 'Otto Porter Jr. (Position: F)'; 'Lauri Markkanen (Position: F-C)'; 'Max Strus (Position: G-F)'; 'Tomas Satoransky (Position: G)'; 'Kris Dunn (Position: G)'; 'Wendell Carter Jr. (Position: C-F)'; 'Denzel Valentine (Position: G)'; 'Ryan Arcidiacono (Position: G)']
5f7d384272e02a5950f1162f,Wizards,NBA,Washington DC,1961,East,Southeast,25,47,0.347,9,3,Capital One Arena,Ted Leonsis,Scott Brooks,['1978 against Seattle SuperSonics'],['Admiral Schofield (Position: G-F)'; 'John Wall (Position: G)'; 'Bradley Beal (Position: G)'; 'Shabazz Napier (Position: G)'; 'Troy Brown Jr. (Position: G-F)'; 'Jarrod Uthoff (Position: F)'; 'Rui Hachimura (Position: F)'; 'Jerome Robinson (Position: G)'; 'Thomas Bryant (Position: C-F)'; 'Ish Smith (Position: G)'; 'Isaac Bonga (Position: G)'; 'Anzejs Pasecniks (Position: C-F)'; 'Johnathan Williams (Position: F)'; 'Gary Payton II (Position: G)'; 'Moritz Wagner (Position: F-C)'; 'Jerian Grant (Position: G)'; 'Garrison Mathews (Position: G)'; 'Ian Mahinmi (Position: C)'; 'Davis Bertans (Position: F)']
5f7d384272e02a5950f1161a,Pistons,NBA,Detroit,1948,East,Central,20,46,0.303,13,4,Little Caesars Arena,Tom Gores,Dwane Casey,['1989 against Los Angeles Lakers'; '1990 against Portland Trail Blazers'; '2004 against Los Angeles Lakers'],['Luke Kennard (Position: G)'; 'Bruce Brown (Position: G-F)'; 'Thon Maker (Position: F-C)'; 'Langston Galloway (Position: G)'; 'Justin Patton (Position: C)'; 'Khyri Thomas (Position: G)'; 'Louis King (Position: F)'; 'Tony Snell (Position: G)'; 'Jordan Bone (Position: G)'; 'Svi Mykhailiuk (Position: G-F)'; 'Brandon Knight (Position: G)'; 'Blake Griffin (Position: F)'; 'Derrick Rose (Position: G)'; 'John Henson (Position: F-C)'; 'Christian Wood (Position: F)'; 'Sekou Doumbouya (Position: F)'; 'Jordan McRae (Position: G)']
5f7d384272e02a5950f11624,Pelicans,NBA,New Orleans,2002,West,Southwest,30,42,0.417,13,5,Smoothie King Center,Tom Benson, ,[],"['Nickeil Alexander-Walker (Position: G)'; 'Zion Williamson (Position: F)'; 'Lonzo Ball (Position: G)'; 'Josh Hart (Position: G)'; 'JJ Redick (Position: G)'; 'Josh Gray (Position: G)'; 'Jahlil Okafor (Position: C-F)'; 'Jaxson Hayes (Position: C-F)'; 'Jrue Holiday (Position: G)'; 'Sindarius Thornwell (Position: G)'; 'Brandon Ingram (Position: F)'; 'Frank Jackson (Position: G)'; 'Nicolo Melli (Position: F)'; 'Darius Miller (Position: F)'; 'Derrick Favors (Position: F)'; 'Kenrich Williams (Position: G-F)'; 'Zylan Cheatham (Position: F)'; ""E'Twaun Moore (Position: G)""]"
5f7d384272e02a5950f1162c,Spurs,NBA,San Antonio,1976,West,Southwest,32,39,0.451,11,4,AT&T Center,Peter Holt,Gregg Popovich,['1999 against New York Knicks'; '2003 against New Jersey Nets'; '2005 against Detroit Pistons'; '2007 against Cleveland Cavaliers'; '2014 against Miami Heat'],['Lonnie Walker IV (Position: G-F)'; 'Keldon Johnson (Position: F-G)'; 'Derrick White (Position: G)'; 'Dejounte Murray (Position: G)'; 'Chimezie Metu (Position: F-C)'; 'Patty Mills (Position: G)'; 'DeMar DeRozan (Position: G-F)'; 'Bryn Forbes (Position: G)'; 'LaMarcus Aldridge (Position: C-F)'; 'Drew Eubanks (Position: F-C)'; 'Quinndary Weatherspoon (Position: G)'; 'Marco Belinelli (Position: G)'; 'Luka Samanic (Position: F)'; 'Rudy Gay (Position: F-G)'; 'Jakob Poeltl (Position: C)'; 'Tyler Zeller (Position: F-C)'; 'Trey Lyles (Position: F)']
